scenario_id,domain,branch,user_action,spec_style,rewrites_causal_alignment,effects
telecom_12to20_b0_s05,mobile_service,misaligned,update_transfer_ownership_record,declarative,YES,ownership_record<-copy:required_record; causal_alignment<-aligned
telecom_12to20_b1_s05,mobile_service,aligned,update_transfer_ownership_record,declarative,YES,ownership_record<-copy:required_record; causal_alignment<-aligned
telecom_1to2_b0_s05,mobile_service,misaligned,update_transfer_ownership_record,declarative,YES,ownership_record<-copy:required_record; causal_alignment<-aligned
telecom_1to2_b1_s05,mobile_service,aligned,update_transfer_ownership_record,declarative,YES,ownership_record<-copy:required_record; causal_alignment<-aligned
telecom_5to8_b0_s05,mobile_service,misaligned,update_transfer_ownership_record,declarative,YES,ownership_record<-copy:required_record; causal_alignment<-aligned
telecom_5to8_b1_s05,mobile_service,aligned,update_transfer_ownership_record,declarative,YES,ownership_record<-copy:required_record; causal_alignment<-aligned
tenancy_12to20_b0_s05,housing,misaligned,refresh_contractor_access_authority,declarative,YES,vendor_credentials<-copy:required_credentials; causal_alignment<-aligned
tenancy_12to20_b1_s05,housing,aligned,refresh_contractor_access_authority,declarative,YES,vendor_credentials<-copy:required_credentials; causal_alignment<-aligned
tenancy_1to2_b0_s05,housing,misaligned,refresh_contractor_access_authority,declarative,YES,vendor_credentials<-copy:required_credentials; causal_alignment<-aligned
tenancy_1to2_b1_s05,housing,aligned,refresh_contractor_access_authority,declarative,YES,vendor_credentials<-copy:required_credentials; causal_alignment<-aligned
tenancy_5to8_b0_s05,housing,misaligned,refresh_contractor_access_authority,declarative,YES,vendor_credentials<-copy:required_credentials; causal_alignment<-aligned
tenancy_5to8_b1_s05,housing,aligned,refresh_contractor_access_authority,declarative,YES,vendor_credentials<-copy:required_credentials; causal_alignment<-aligned
utility_12to20_b0_s05,energy,misaligned,register_missing_supply_points,declarative,YES,registered_points<-copy:actual_points; causal_alignment<-aligned
utility_12to20_b1_s05,energy,aligned,register_missing_supply_points,declarative,YES,registered_points<-copy:actual_points; causal_alignment<-aligned
utility_1to2_b0_s05,energy,misaligned,register_missing_supply_points,declarative,YES,registered_points<-copy:actual_points; causal_alignment<-aligned
utility_1to2_b1_s05,energy,aligned,register_missing_supply_points,declarative,YES,registered_points<-copy:actual_points; causal_alignment<-aligned
utility_5to8_b0_s05,energy,misaligned,register_missing_supply_points,declarative,YES,registered_points<-copy:actual_points; causal_alignment<-aligned
utility_5to8_b1_s05,energy,aligned,register_missing_supply_points,declarative,YES,registered_points<-copy:actual_points; causal_alignment<-aligned
warranty_12to20_b0_s05,repair,misaligned,switch_to_matching_purchase_route,declarative,YES,covered_channel<-copy:purchase_channel; causal_alignment<-aligned
warranty_12to20_b1_s05,repair,aligned,switch_to_matching_purchase_route,declarative,YES,covered_channel<-copy:purchase_channel; causal_alignment<-aligned
warranty_1to2_b0_s05,repair,misaligned,switch_to_matching_purchase_route,declarative,YES,covered_channel<-copy:purchase_channel; causal_alignment<-aligned
warranty_1to2_b1_s05,repair,aligned,switch_to_matching_purchase_route,declarative,YES,covered_channel<-copy:purchase_channel; causal_alignment<-aligned
warranty_5to8_b0_s05,repair,misaligned,switch_to_matching_purchase_route,declarative,YES,covered_channel<-copy:purchase_channel; causal_alignment<-aligned
warranty_5to8_b1_s05,repair,aligned,switch_to_matching_purchase_route,declarative,YES,covered_channel<-copy:purchase_channel; causal_alignment<-aligned
