source,model,scenario_id,domain,bucket,causal_pair_id,causal_branch,condition,seed,trajectory_success,action_trajectory_success,pre_gap_success,post_gap_success,belief_reporting_success,state_belief_success,response_style_success,failure_tags,model_calls,prompt_tokens,completion_tokens,total_tokens,cost,latency_s,error
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,state_change_short,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,21818,537,22355,0.0221329,66.679,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,5399,513,5912,0.0029022,63.448,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,transcript_only,1,True,True,True,True,True,True,,,15,5105,443,5548,0.002639,62.013,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,clue_removed,0,False,False,False,False,True,False,,EARLY_CLUE_LOSS;PREMATURE_ESCALATION;STATE_BELIEF_ERROR,15,23821,411,24232,0.02310158,100.234,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,clue_removed,1,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,30729,468,31197,0.0308504,97.555,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,full_audio,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,33296,508,33804,0.0335174,114.43,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,full_audio,1,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,27720,459,28179,0.0278147,88.782,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,gap_no_state_change,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,20193,498,20691,0.0204104,83.354,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,gap_no_state_change,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,24243,550,24793,0.0245904,80.299,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,hidden_user_action,0,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,15,20893,505,21398,0.0211279,68.531,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,hidden_user_action,1,True,True,True,True,True,True,,,15,22993,516,23509,0.0232554,76.167,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,neutral_audio,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,19134,470,19604,0.0193052,71.178,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,neutral_audio,1,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,21495,512,22007,0.01993916,77.028,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,prosody_high,0,False,False,False,False,True,False,False,EARLY_CLUE_LOSS;PREMATURE_CLOSE;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,23315,503,23818,0.02142675,68.394,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,prosody_high,1,False,False,True,False,True,False,False,EARLY_CLUE_LOSS;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,18906,513,19419,0.0191343,74.671,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,prosody_low,0,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,23171,558,23729,0.0234838,91.769,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,prosody_low,1,False,False,True,False,True,False,False,EARLY_CLUE_LOSS;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,21165,525,21690,0.0213995,64.076,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,state_change_short,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,22193,524,22717,0.0224754,76.17,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,state_change_short,1,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,21193,483,21676,0.0213729,68.464,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,transcript_only,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,5166,450,5616,0.0026748,64.153,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b1_s05,banking,12-20,bank:12-20:s05,aligned,transcript_only,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,5098,437,5535,0.0026219,63.638,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,clue_removed,0,False,False,True,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,15,28226,435,28661,0.0282649,101.197,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,clue_removed,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,21997,385,22382,0.02117452,87.378,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,full_audio,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,15,27084,426,27510,0.0271004,107.737,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,full_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,23780,397,24177,0.0237239,78.574,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,gap_no_state_change,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,18621,502,19123,0.0188463,76.631,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,gap_no_state_change,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,21170,558,21728,0.021536,84.451,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,hidden_user_action,0,False,True,True,True,False,False,,BELIEF_REPORT_INVALID;STATE_BELIEF_ERROR,15,19843,501,20344,0.0200679,71.002,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,hidden_user_action,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,23245,555,23800,0.0236035,76.199,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,neutral_audio,0,False,True,True,True,False,False,,BELIEF_REPORT_INVALID;STATE_BELIEF_ERROR,15,20468,482,20950,0.0206454,69.853,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,neutral_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,20943,529,21472,0.0212379,73.618,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,prosody_high,0,False,False,True,False,True,False,False,PREMATURE_CLOSE;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,21490,542,22032,0.021767,64.399,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,prosody_high,1,False,False,True,True,False,False,False,BELIEF_REPORT_INVALID;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,19567,510,20077,0.0197626,78.701,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,prosody_low,0,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,18040,489,18529,0.0181845,73.017,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,prosody_low,1,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,21490,550,22040,0.021787,64.872,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,state_change_short,0,False,True,True,True,False,False,,BELIEF_REPORT_INVALID;STATE_BELIEF_ERROR,15,19247,464,19711,0.0193766,76.838,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,state_change_short,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,20159,523,20682,0.0204627,71.158,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,5002,439,5441,0.0025981,59.448,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b0_s05,banking,1-2,bank:1-2:s05,misaligned,transcript_only,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,4989,479,5468,0.0026942,67.347,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,clue_removed,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,27857,437,28294,0.0279009,102.826,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,clue_removed,1,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,26110,416,26526,0.0261014,90.69,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,full_audio,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,25021,414,25435,0.0250074,116.243,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,full_audio,1,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,24134,395,24529,0.0240729,80.127,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,gap_no_state_change,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,18093,476,18569,0.0182554,77.033,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,gap_no_state_change,1,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,18794,441,19235,0.0189032,76.847,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,hidden_user_action,0,False,True,True,True,False,False,,BELIEF_REPORT_INVALID;STATE_BELIEF_ERROR,15,20743,513,21256,0.0209979,69.165,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,hidden_user_action,1,False,True,True,True,False,False,,BELIEF_REPORT_INVALID;STATE_BELIEF_ERROR,15,20843,518,21361,0.0211104,71.922,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,neutral_audio,0,False,False,True,False,False,False,,BELIEF_REPORT_INVALID;EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,18534,484,19018,0.0187402,67.69,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,neutral_audio,1,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,19070,485,19555,0.01795381,76.68,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,prosody_high,0,False,False,True,False,True,False,False,EARLY_CLUE_LOSS;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,20619,533,21152,0.0208707,61.011,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,prosody_high,1,False,False,True,False,False,False,False,BELIEF_REPORT_INVALID;EARLY_CLUE_LOSS;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,18915,486,19401,0.019052,67.62,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,prosody_low,0,False,False,True,False,True,False,False,EARLY_CLUE_LOSS;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,19717,527,20244,0.0199551,77.36,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,prosody_low,1,False,False,True,False,False,False,False,BELIEF_REPORT_INVALID;EARLY_CLUE_LOSS;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,19940,534,20474,0.020197,75.043,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,state_change_short,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,20645,521,21166,0.0209185,78.391,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,state_change_short,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,20198,521,20719,0.0204694,68.485,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,4817,421,5238,0.0024976,62.899,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_b1_s05,banking,1-2,bank:1-2:s05,aligned,transcript_only,1,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,15,4844,433,5277,0.0025357,63.383,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,clue_removed,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,15,26667,416,27083,0.0266584,106.954,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,clue_removed,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,24735,402,25137,0.02394197,89.165,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,full_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,26990,418,27408,0.0269864,107.218,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,full_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,25286,412,25698,0.0252674,77.394,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,gap_no_state_change,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR,15,21143,518,21661,0.0214104,89.981,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,gap_no_state_change,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,20143,517,20660,0.0204079,80.985,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,hidden_user_action,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,23118,602,23720,0.0235954,72.162,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,hidden_user_action,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,21143,516,21659,0.0214054,70.984,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,neutral_audio,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,15,22368,527,22895,0.0226579,71.222,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,neutral_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,20743,526,21269,0.0210304,74.274,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,prosody_high,0,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,20540,548,21088,0.020832,64.168,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,prosody_high,1,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,20815,520,21335,0.021037,66.843,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,prosody_low,0,False,False,False,False,True,False,False,PREMATURE_ESCALATION;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,21518,546,22064,0.0218029,77.715,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,prosody_low,1,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,18781,481,19262,0.0189293,76.13,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,state_change_short,0,False,False,True,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,15,22668,535,23203,0.0229779,75.118,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,state_change_short,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,20493,518,21011,0.0207604,68.011,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,transcript_only,0,True,True,True,True,True,True,,,15,4839,419,5258,0.0024992,58.292,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b0_s05,banking,5-8,bank:5-8:s05,misaligned,transcript_only,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,5249,470,5719,0.0027497,63.075,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b1_s05,banking,5-8,bank:5-8:s05,aligned,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,25812,412,26224,0.0257934,104.162,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_b1_s05,banking,5-8,bank:5-8:s05,aligned,clue_removed,1,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,26400,426,26826,0.02565905,89.264,
