source,model,scenario_id,domain,bucket,condition,seed,trajectory_success,action_trajectory_success,pre_gap_success,post_gap_success,belief_reporting_success,state_belief_success,response_style_success,failure_tags,model_calls,prompt_tokens,completion_tokens,total_tokens,cost,latency_s,error
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,gap_no_state_change,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,19911,322,20233,0.0198445,135.191,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,neutral_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,21859,355,22214,0.021875,144.195,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,neutral_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,19418,309,19727,0.019319,127.066,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,prosody_high,0,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,22172,355,22527,0.0221376,139.598,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,prosody_high,1,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,19885,336,20221,0.0198031,112.633,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,prosody_low,0,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,20132,347,20479,0.0200776,138.904,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,prosody_low,1,False,True,True,True,True,False,True,STATE_BELIEF_ERROR,14,21739,347,22086,0.0216846,116.482,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,4257,386,4643,0.0022421,57.244,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,transcript_only,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,4115,339,4454,0.002082,58.151,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20883,336,21219,0.02007867,111.523,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,clue_removed,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20365,327,20692,0.020311,125.299,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,full_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,22337,367,22704,0.0223802,91.918,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,full_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,21498,344,21842,0.0214865,90.237,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,gap_no_state_change,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,21235,337,21572,0.021206,139.682,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,gap_no_state_change,1,False,False,True,False,True,False,,STATE_BELIEF_ERROR,14,19963,321,20284,0.0198919,104.605,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,neutral_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,21572,345,21917,0.0215616,99.164,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,neutral_audio,1,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,20312,333,20645,0.0202695,102.745,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,prosody_high,0,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,20636,345,20981,0.0205766,144.381,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,prosody_high,1,False,False,False,False,True,False,False,PREMATURE_CLOSE;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,14,21804,345,22149,0.0217446,117.809,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,prosody_low,0,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,21371,338,21709,0.02052127,139.156,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,prosody_low,1,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,20786,330,21116,0.01919951,109.239,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,transcript_only,0,True,True,True,True,True,True,,,14,4050,334,4384,0.00205,58.589,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v1_s04,banking,1-2,transcript_only,1,True,True,True,True,True,True,,,14,4220,348,4568,0.002136,61.12,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20679,334,21013,0.0206425,113.539,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,clue_removed,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20293,321,20614,0.0202212,131.509,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,full_audio,0,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,19986,345,20331,0.0199742,99.102,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,full_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,21170,343,21513,0.021156,86.9,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,gap_no_state_change,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20524,320,20844,0.0204525,146.025,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,gap_no_state_change,1,True,True,True,True,True,True,,,14,20461,320,20781,0.0203895,120.585,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,neutral_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,23036,375,23411,0.023102,105.227,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,neutral_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20966,334,21300,0.0209295,98.737,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,prosody_high,0,False,True,True,True,True,False,True,STATE_BELIEF_ERROR,14,21622,351,21973,0.0215776,138.973,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,prosody_high,1,False,False,False,False,True,False,True,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,20688,350,21038,0.0206383,118.943,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,prosody_low,0,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,21352,337,21689,0.0212726,128.917,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,prosody_low,1,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,20264,319,20583,0.0201396,111.067,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,transcript_only,0,True,True,True,True,True,True,,,14,4327,363,4690,0.0022056,57.142,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v0_s04,banking,5-8,transcript_only,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,4057,339,4396,0.0020646,60.868,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v1_s04,banking,5-8,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20767,340,21107,0.0207427,104.787,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v1_s04,banking,5-8,clue_removed,1,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,21838,354,22192,0.0218515,129.744,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v1_s04,banking,5-8,full_audio,0,True,True,True,True,True,True,,,14,20421,328,20749,0.0203695,92.261,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v1_s04,banking,5-8,full_audio,1,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,21462,364,21826,0.0214991,89.522,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v1_s04,banking,5-8,gap_no_state_change,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20107,337,20444,0.01931049,137.419,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v1_s04,banking,5-8,gap_no_state_change,1,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,19944,324,20268,0.01911659,111.401,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v1_s04,banking,5-8,neutral_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,22179,365,22544,0.02143925,92.803,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v1_s04,banking,5-8,neutral_audio,1,False,True,True,True,False,False,,BELIEF_REPORT_INVALID;STATE_BELIEF_ERROR,14,21031,326,21357,0.0209745,109.184,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v1_s04,banking,5-8,prosody_high,0,True,True,True,True,True,True,True,,14,21059,314,21373,0.0209221,149.579,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_5to8_v1_s04,banking,5-8,prosody_high,1,False,False,True,True,False,False,False,BELIEF_REPORT_INVALID;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,21310,331,21641,0.0212156,111.795,
