source,model,scenario_id,domain,bucket,condition,seed,trajectory_success,action_trajectory_success,pre_gap_success,post_gap_success,belief_reporting_success,state_belief_success,response_style_success,failure_tags,model_calls,prompt_tokens,completion_tokens,total_tokens,cost,latency_s,error
smoke_results\v04_fake_all.jsonl,fake,bank_5to8_v1_s04,banking,5-8,transcript_only,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,bank_5to8_v1_s04,banking,5-8,neutral_audio,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,bank_5to8_v1_s04,banking,5-8,hidden_user_action,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,bank_5to8_v1_s04,banking,5-8,prosody_high,0,True,True,True,True,True,True,True,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,bank_5to8_v1_s04,banking,5-8,prosody_low,0,True,True,True,True,True,True,True,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v0_s04,scheduling,12-20,full_audio,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v0_s04,scheduling,12-20,gap_no_state_change,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,,,,,,0.003,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v0_s04,scheduling,12-20,state_change_short,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v0_s04,scheduling,12-20,clue_removed,0,False,False,False,False,True,False,,EARLY_CLUE_LOSS;PREMATURE_CLOSE;STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v0_s04,scheduling,12-20,transcript_only,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v0_s04,scheduling,12-20,neutral_audio,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v0_s04,scheduling,12-20,hidden_user_action,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v0_s04,scheduling,12-20,prosody_high,0,False,False,True,False,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v0_s04,scheduling,12-20,prosody_low,0,False,False,True,False,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v1_s04,scheduling,12-20,full_audio,0,False,False,False,False,True,True,,PREMATURE_CLOSE,,,,,,0.003,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v1_s04,scheduling,12-20,gap_no_state_change,0,False,False,False,False,True,True,,PREMATURE_CLOSE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v1_s04,scheduling,12-20,state_change_short,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v1_s04,scheduling,12-20,clue_removed,0,False,False,False,False,True,False,,PREMATURE_CLOSE;PREMATURE_ESCALATION;STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v1_s04,scheduling,12-20,transcript_only,0,False,False,False,False,True,True,,PREMATURE_CLOSE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v1_s04,scheduling,12-20,neutral_audio,0,False,False,False,False,True,True,,PREMATURE_CLOSE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v1_s04,scheduling,12-20,hidden_user_action,0,False,False,False,False,True,True,,PREMATURE_CLOSE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v1_s04,scheduling,12-20,prosody_high,0,False,False,False,False,True,True,False,PREMATURE_CLOSE;PROSODY_GROUNDING_FAILURE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_12to20_v1_s04,scheduling,12-20,prosody_low,0,False,False,False,False,True,True,False,PREMATURE_CLOSE;PROSODY_GROUNDING_FAILURE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v0_s04,scheduling,1-2,full_audio,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v0_s04,scheduling,1-2,gap_no_state_change,0,True,True,True,True,True,True,,,,,,,,0.0,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v0_s04,scheduling,1-2,state_change_short,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v0_s04,scheduling,1-2,clue_removed,0,False,False,True,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v0_s04,scheduling,1-2,transcript_only,0,True,True,True,True,True,True,,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v0_s04,scheduling,1-2,neutral_audio,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v0_s04,scheduling,1-2,hidden_user_action,0,True,True,True,True,True,True,,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v0_s04,scheduling,1-2,prosody_high,0,False,False,True,True,True,True,False,PROSODY_GROUNDING_FAILURE,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v0_s04,scheduling,1-2,prosody_low,0,False,False,True,True,True,True,False,PROSODY_GROUNDING_FAILURE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v1_s04,scheduling,1-2,full_audio,0,False,False,False,True,True,True,,PREMATURE_ESCALATION,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v1_s04,scheduling,1-2,gap_no_state_change,0,False,False,False,True,True,True,,PREMATURE_ESCALATION,,,,,,0.0,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v1_s04,scheduling,1-2,state_change_short,0,False,False,False,True,True,True,,PREMATURE_ESCALATION,,,,,,0.003,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v1_s04,scheduling,1-2,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v1_s04,scheduling,1-2,transcript_only,0,False,False,False,True,True,True,,PREMATURE_ESCALATION,,,,,,0.003,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v1_s04,scheduling,1-2,neutral_audio,0,False,False,False,True,True,True,,PREMATURE_ESCALATION,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v1_s04,scheduling,1-2,hidden_user_action,0,False,False,False,True,True,True,,PREMATURE_ESCALATION,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v1_s04,scheduling,1-2,prosody_high,0,False,False,False,True,True,True,True,PREMATURE_ESCALATION,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_1to2_v1_s04,scheduling,1-2,prosody_low,0,False,False,False,True,True,True,True,PREMATURE_ESCALATION,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v0_s04,scheduling,5-8,full_audio,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v0_s04,scheduling,5-8,gap_no_state_change,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v0_s04,scheduling,5-8,state_change_short,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v0_s04,scheduling,5-8,clue_removed,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v0_s04,scheduling,5-8,transcript_only,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v0_s04,scheduling,5-8,neutral_audio,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v0_s04,scheduling,5-8,hidden_user_action,0,False,False,True,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,,,,,,0.003,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v0_s04,scheduling,5-8,prosody_high,0,False,False,True,False,True,False,True,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v0_s04,scheduling,5-8,prosody_low,0,False,False,True,False,True,False,True,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v1_s04,scheduling,5-8,full_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v1_s04,scheduling,5-8,gap_no_state_change,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v1_s04,scheduling,5-8,state_change_short,0,False,False,True,False,True,True,,STATE_SYNC_FAILURE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v1_s04,scheduling,5-8,clue_removed,0,False,False,False,False,True,False,,PREMATURE_ESCALATION;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v1_s04,scheduling,5-8,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v1_s04,scheduling,5-8,neutral_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v1_s04,scheduling,5-8,hidden_user_action,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v1_s04,scheduling,5-8,prosody_high,0,False,True,True,True,True,False,True,STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,clinic_5to8_v1_s04,scheduling,5-8,prosody_low,0,False,True,True,True,True,False,True,STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v0_s04,education,12-20,full_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v0_s04,education,12-20,gap_no_state_change,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v0_s04,education,12-20,state_change_short,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v0_s04,education,12-20,clue_removed,0,False,False,False,True,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v0_s04,education,12-20,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.003,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v0_s04,education,12-20,neutral_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v0_s04,education,12-20,hidden_user_action,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v0_s04,education,12-20,prosody_high,0,False,True,True,True,True,False,True,STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v0_s04,education,12-20,prosody_low,0,False,True,True,True,True,False,True,STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v1_s04,education,12-20,full_audio,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v1_s04,education,12-20,gap_no_state_change,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v1_s04,education,12-20,state_change_short,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v1_s04,education,12-20,clue_removed,0,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v1_s04,education,12-20,transcript_only,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v1_s04,education,12-20,neutral_audio,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,,,,,,0.0,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v1_s04,education,12-20,hidden_user_action,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v1_s04,education,12-20,prosody_high,0,False,False,True,False,True,False,True,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_12to20_v1_s04,education,12-20,prosody_low,0,False,False,True,False,True,False,True,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v0_s04,education,1-2,full_audio,0,True,True,True,True,True,True,,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v0_s04,education,1-2,gap_no_state_change,0,True,True,True,True,True,True,,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v0_s04,education,1-2,state_change_short,0,True,True,True,True,True,True,,,,,,,,0.005,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v0_s04,education,1-2,clue_removed,0,True,True,True,True,True,True,,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v0_s04,education,1-2,transcript_only,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v0_s04,education,1-2,neutral_audio,0,True,True,True,True,True,True,,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v0_s04,education,1-2,hidden_user_action,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v0_s04,education,1-2,prosody_high,0,True,True,True,True,True,True,True,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v0_s04,education,1-2,prosody_low,0,True,True,True,True,True,True,True,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v1_s04,education,1-2,full_audio,0,True,True,True,True,True,True,,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v1_s04,education,1-2,gap_no_state_change,0,True,True,True,True,True,True,,,,,,,,0.003,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v1_s04,education,1-2,state_change_short,0,True,True,True,True,True,True,,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v1_s04,education,1-2,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v1_s04,education,1-2,transcript_only,0,True,True,True,True,True,True,,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v1_s04,education,1-2,neutral_audio,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v1_s04,education,1-2,hidden_user_action,0,True,True,True,True,True,True,,,,,,,,0.003,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v1_s04,education,1-2,prosody_high,0,True,True,True,True,True,True,True,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_1to2_v1_s04,education,1-2,prosody_low,0,True,True,True,True,True,True,True,,,,,,,0.004,
smoke_results\v04_fake_all.jsonl,fake,college_5to8_v0_s04,education,5-8,full_audio,0,False,False,True,False,True,True,,EARLY_CLUE_LOSS,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_5to8_v0_s04,education,5-8,gap_no_state_change,0,False,False,True,False,True,True,,,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_5to8_v0_s04,education,5-8,state_change_short,0,True,True,True,True,True,True,,,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_5to8_v0_s04,education,5-8,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_5to8_v0_s04,education,5-8,transcript_only,0,False,False,True,False,True,True,,EARLY_CLUE_LOSS,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_5to8_v0_s04,education,5-8,neutral_audio,0,False,False,True,False,True,True,,EARLY_CLUE_LOSS,,,,,,0.001,
smoke_results\v04_fake_all.jsonl,fake,college_5to8_v0_s04,education,5-8,hidden_user_action,0,False,False,True,False,True,True,,EARLY_CLUE_LOSS,,,,,,0.002,
smoke_results\v04_fake_all.jsonl,fake,college_5to8_v0_s04,education,5-8,prosody_high,0,False,False,True,False,True,True,True,EARLY_CLUE_LOSS,,,,,,0.003,
smoke_results\v04_fake_all.jsonl,fake,college_5to8_v0_s04,education,5-8,prosody_low,0,False,False,True,False,True,True,True,EARLY_CLUE_LOSS,,,,,,0.001,
