model,condition,n_trajectories,n_trajectories_with_any_change,n_changed_variable_observations,revision_gain,final_revision_gain,reflection_gain,stale_belief_mass,stored_mean_revision_gain,stored_mean_final_revision_gain,stored_mean_stale_belief_persistence,contributing_variables
Gemini 3,No state change,168,117,117,0.5852,0.4998,-0.0853,0.0132,0.5852,0.4998,0.0132,access_status=12; authorization_status=6; claim_progress=12; claim_state=7; claim_status=10; connection_status=1; dispute_status=10; enrolment_status=9; firmware_status=12; permit_status=8; port_status=7; reading_status=8; shipment_status=3; work_order_status=12
Gemini 3,Short clue,168,112,112,0.2802,0.3219,0.0417,0.0219,0.2802,0.3219,0.0219,access_status=11; authorization_status=8; claim_progress=11; claim_state=4; claim_status=9; connection_status=7; dispute_status=10; enrolment_status=8; firmware_status=11; permit_status=6; port_status=5; reading_status=7; shipment_status=4; work_order_status=11
Gemini 3,Clue removed,168,111,111,0.2243,0.2449,0.0206,0.0178,0.2243,0.2449,0.0178,access_status=11; authorization_status=2; claim_progress=12; claim_state=11; claim_status=10; connection_status=8; dispute_status=8; enrolment_status=8; firmware_status=12; permit_status=6; port_status=5; reading_status=6; work_order_status=12
Gemini 3,Transcript,168,137,137,0.4131,0.5321,0.119,0.0248,0.4131,0.5321,0.0248,access_status=12; authorization_status=9; claim_progress=12; claim_state=11; claim_status=9; connection_status=6; dispute_status=11; enrolment_status=11; firmware_status=11; permit_status=8; port_status=8; reading_status=12; shipment_status=5; work_order_status=12
Gemini 3,Neutral audio,168,127,127,0.3365,0.3683,0.0318,0.0283,0.3365,0.3683,0.0283,access_status=12; authorization_status=9; claim_progress=11; claim_state=5; claim_status=10; connection_status=6; dispute_status=12; enrolment_status=8; firmware_status=11; permit_status=8; port_status=9; reading_status=9; shipment_status=6; work_order_status=11
Gemini 3,Explicit user update,168,152,198,0.811,0.8617,0.0507,0.0472,0.7947,0.8539,0.0569,access_status=9; authorization_status=9; causal_alignment=72; claim_progress=11; claim_state=6; claim_status=11; connection_status=12; dispute_status=12; enrolment_status=8; firmware_status=11; permit_status=6; port_status=7; reading_status=10; shipment_status=3; work_order_status=11
Gemini 3,High prosody,168,123,123,0.2972,0.3176,0.0204,0.0134,0.2972,0.3176,0.0134,access_status=11; authorization_status=6; claim_progress=12; claim_state=7; claim_status=11; connection_status=7; dispute_status=11; enrolment_status=7; firmware_status=12; permit_status=7; port_status=7; reading_status=9; shipment_status=4; work_order_status=12
Gemini 3,Low prosody,168,116,116,0.2495,0.2696,0.0201,0.0138,0.2495,0.2696,0.0138,access_status=11; authorization_status=7; claim_progress=10; claim_state=5; claim_status=11; connection_status=6; dispute_status=11; enrolment_status=11; firmware_status=12; permit_status=8; port_status=6; reading_status=7; shipment_status=1; work_order_status=10
GPT Audio Mini,Ordinary audio,168,105,105,-0.0102,0.0276,0.0378,0.1035,-0.0102,0.0276,0.1035,access_status=12; authorization_status=5; claim_progress=3; claim_state=10; claim_status=6; connection_status=6; dispute_status=11; enrolment_status=7; firmware_status=7; permit_status=7; port_status=8; reading_status=8; shipment_status=3; work_order_status=12
GPT Audio Mini,No state change,168,91,91,0.2721,0.2117,-0.0603,0.1258,0.2721,0.2117,0.1258,access_status=12; authorization_status=4; claim_progress=2; claim_state=9; claim_status=6; dispute_status=11; enrolment_status=9; firmware_status=5; permit_status=8; port_status=7; reading_status=5; shipment_status=2; work_order_status=11
GPT Audio Mini,Short clue,168,108,108,-0.0573,-0.0478,0.0095,0.1144,-0.0573,-0.0478,0.1144,access_status=12; authorization_status=6; claim_progress=6; claim_state=10; claim_status=7; connection_status=6; dispute_status=12; enrolment_status=7; firmware_status=8; permit_status=8; port_status=5; reading_status=7; shipment_status=4; work_order_status=10
GPT Audio Mini,Clue removed,168,87,87,0.0452,0.0878,0.0426,0.1155,0.0452,0.0878,0.1155,access_status=12; authorization_status=2; claim_progress=1; claim_state=10; claim_status=10; connection_status=6; dispute_status=8; enrolment_status=5; firmware_status=5; permit_status=4; port_status=6; reading_status=8; work_order_status=10
GPT Audio Mini,Neutral audio,168,102,102,-0.0078,0.0173,0.0251,0.1167,-0.0078,0.0173,0.1167,access_status=12; authorization_status=5; claim_progress=5; claim_state=12; claim_status=8; connection_status=6; dispute_status=9; enrolment_status=5; firmware_status=7; permit_status=7; port_status=7; reading_status=6; shipment_status=2; work_order_status=11
GPT Audio Mini,Explicit user update,168,151,183,0.4563,0.4737,0.0174,0.1127,0.4346,0.4513,0.1201,access_status=12; authorization_status=4; causal_alignment=72; claim_progress=6; claim_state=12; claim_status=9; connection_status=12; dispute_status=10; enrolment_status=8; firmware_status=4; permit_status=9; port_status=7; reading_status=7; shipment_status=2; work_order_status=9
GPT Audio Mini,High prosody,168,97,97,-0.0273,-0.0187,0.0086,0.1108,-0.0273,-0.0187,0.1108,access_status=12; authorization_status=5; claim_progress=5; claim_state=12; claim_status=7; connection_status=6; dispute_status=6; enrolment_status=8; firmware_status=5; permit_status=6; port_status=7; reading_status=7; shipment_status=2; work_order_status=9
GPT Audio Mini,Low prosody,168,96,96,-0.01,-0.0258,-0.0159,0.1193,-0.01,-0.0258,0.1193,access_status=11; authorization_status=5; claim_progress=2; claim_state=9; claim_status=6; connection_status=6; dispute_status=10; enrolment_status=8; firmware_status=6; permit_status=7; port_status=6; reading_status=8; shipment_status=3; work_order_status=9
