model,condition,scope,n_pairs,both final actions,both final actions 95% CI,both post-gap beliefs,both post-gap beliefs 95% CI,both actions and both beliefs,both actions and both beliefs 95% CI,both first actions,both first actions 95% CI
GPT Audio Mini,Ordinary audio,seed=1,42,0.0,"[0.0, 0.0]",4.8,"[0.0, 14.3]",0.0,"[0.0, 0.0]",45.2,"[23.8, 69.0]"
GPT Audio Mini,No state change,pooled,84,8.3,"[2.4, 15.5]",41.7,"[26.2, 58.3]",1.2,"[0.0, 3.6]",39.3,"[20.2, 59.5]"
GPT Audio Mini,No state change,seed=0,42,11.9,"[2.4, 23.8]",31.0,"[16.7, 47.6]",0.0,"[0.0, 0.0]",35.7,"[19.0, 54.8]"
GPT Audio Mini,No state change,seed=1,42,4.8,"[0.0, 11.9]",52.4,"[31.0, 73.8]",2.4,"[0.0, 7.1]",42.9,"[21.4, 66.7]"
GPT Audio Mini,Short clue,pooled,84,1.2,"[0.0, 3.6]",11.9,"[4.8, 20.2]",0.0,"[0.0, 0.0]",40.5,"[23.8, 58.3]"
GPT Audio Mini,Short clue,seed=0,42,0.0,"[0.0, 0.0]",7.1,"[0.0, 14.3]",0.0,"[0.0, 0.0]",40.5,"[23.8, 59.5]"
GPT Audio Mini,Short clue,seed=1,42,2.4,"[0.0, 7.1]",16.7,"[4.8, 31.0]",0.0,"[0.0, 0.0]",40.5,"[21.4, 59.5]"
GPT Audio Mini,Clue removed,pooled,84,0.0,"[0.0, 0.0]",3.6,"[0.0, 9.5]",0.0,"[0.0, 0.0]",41.7,"[23.8, 60.7]"
GPT Audio Mini,Clue removed,seed=0,42,0.0,"[0.0, 0.0]",2.4,"[0.0, 7.1]",0.0,"[0.0, 0.0]",40.5,"[21.4, 61.9]"
GPT Audio Mini,Clue removed,seed=1,42,0.0,"[0.0, 0.0]",4.8,"[0.0, 14.3]",0.0,"[0.0, 0.0]",42.9,"[23.8, 64.3]"
GPT Audio Mini,Neutral audio,pooled,84,1.2,"[0.0, 3.6]",11.9,"[2.4, 23.8]",0.0,"[0.0, 0.0]",40.5,"[22.6, 59.5]"
GPT Audio Mini,Neutral audio,seed=0,42,0.0,"[0.0, 0.0]",7.1,"[0.0, 19.0]",0.0,"[0.0, 0.0]",35.7,"[16.7, 54.8]"
GPT Audio Mini,Neutral audio,seed=1,42,2.4,"[0.0, 7.1]",16.7,"[4.8, 31.0]",0.0,"[0.0, 0.0]",45.2,"[26.2, 64.3]"
GPT Audio Mini,Explicit user update,pooled,84,44.0,"[31.0, 57.1]",54.8,"[38.1, 70.2]",39.3,"[25.0, 54.8]",41.7,"[23.8, 59.5]"
GPT Audio Mini,Explicit user update,seed=0,42,42.9,"[26.2, 61.9]",59.5,"[40.5, 76.2]",40.5,"[23.8, 59.5]",40.5,"[21.4, 59.5]"
GPT Audio Mini,Explicit user update,seed=1,42,45.2,"[33.3, 57.1]",50.0,"[33.3, 66.7]",38.1,"[23.8, 52.4]",42.9,"[23.8, 61.9]"
GPT Audio Mini,High prosody,pooled,84,0.0,"[0.0, 0.0]",10.7,"[3.6, 19.0]",0.0,"[0.0, 0.0]",38.1,"[22.6, 56.0]"
GPT Audio Mini,High prosody,seed=0,42,0.0,"[0.0, 0.0]",9.5,"[2.4, 16.7]",0.0,"[0.0, 0.0]",38.1,"[21.4, 54.8]"
GPT Audio Mini,High prosody,seed=1,42,0.0,"[0.0, 0.0]",11.9,"[0.0, 28.6]",0.0,"[0.0, 0.0]",38.1,"[21.4, 57.1]"
GPT Audio Mini,Low prosody,pooled,84,1.2,"[0.0, 3.6]",17.9,"[8.3, 28.6]",0.0,"[0.0, 0.0]",38.1,"[22.6, 54.8]"
GPT Audio Mini,Low prosody,seed=0,42,2.4,"[0.0, 7.1]",16.7,"[7.1, 26.2]",0.0,"[0.0, 0.0]",33.3,"[19.0, 50.0]"
GPT Audio Mini,Low prosody,seed=1,42,0.0,"[0.0, 0.0]",19.0,"[4.8, 35.7]",0.0,"[0.0, 0.0]",42.9,"[23.8, 64.3]"
